mrishare_id,SPM_GM_hemiR_SNR,SPM_GM_hemiL_SNR,SPM_WM_hemiR_SNR,SPM_WM_hemiL_SNR,SPM_CSF_hemiR_SNR,SPM_CSF_hemiL_SNR,SPM_hemiR_WMGM_CNR,SPM_hemiR_GMCSF_CNR,SPM_hemiL_WMGM_CNR,SPM_hemiL_GMCSF_CNR
SHARE0001,7.628483678727251,7.523152866335317,23.178798950867442,22.458007500482978,3.8611161276066697,3.6105887284833047,1.3582185497387835,1.5009457649698663,1.3622210341405707,1.5243935001562006
SHARE0002,7.811797232049996,7.6424668918858805,23.48710881559118,22.49024408171184,4.13598182832147,4.051805425719319,1.359039019778002,1.4844931038064315,1.3668177364813048,1.4936792782444834
SHARE0004,7.472137613534759,7.336082736169282,26.29970345453818,25.9915189750728,3.7373747364964562,3.789911607578477,1.3482775911460816,1.5397399833040548,1.3559729874061153,1.5325068068593573
SHARE0006,7.7556592003428895,7.670647708833322,23.937270161113528,23.06634964642136,4.181920852983321,3.9475054875987685,1.3787389471153415,1.482370035139975,1.385411177240867,1.512489725210584
SHARE0007,9.495374487951503,9.246421995678904,17.458108339324802,16.710430601285612,4.12799343684819,4.284723719852502,1.367900000592747,1.4684010164710524,1.3778845243456397,1.4560548731768752
SHARE0008,8.038948543454952,8.016289094045732,23.109218616250338,22.64658129127836,4.224655910363314,3.886392096323985,1.3412613692074522,1.5387868647051608,1.34412382045471,1.5712872030223701
SHARE0024,8.241500109922963,8.228644588073545,21.936952773741922,21.932137008530887,4.438418961009417,4.341609516057366,1.3603473343844898,1.4559876895062085,1.3638244569710245,1.4635118145794623
SHARE0029,8.718100823936469,8.566559402947401,19.556624413354406,19.179434408360738,5.3839535388311255,4.944507291591309,1.3507358647354943,1.3807381351780317,1.356484127424877,1.3923269531689082
SHARE0035,8.826003901260771,8.689585666551578,17.038928511626047,16.927619186468544,3.8870978504507114,3.67890759055438,1.371492991782381,1.4865453887721798,1.3747547282125587,1.5242064823667971
SHARE0040,8.414229784702197,8.302405980565156,15.956034598471673,15.800064641005608,4.299755566312169,4.217385536992538,1.3568791048865785,1.4663350320238424,1.36482138151577,1.4739034696921332
SHARE0041,8.053291908129802,7.982090001508441,14.978610901203716,14.978734399523598,3.848731676573191,3.6414675055980803,1.3789922275557351,1.5383923105357975,1.3852408040571478,1.5655357037338082
SHARE0042,8.168255033448219,8.221717455241633,21.522624867509933,21.042452901128254,3.7285691569029518,3.7148846731168534,1.3556238097137128,1.5184693089203969,1.3581792625924547,1.5145785225058517
SHARE0045,9.274919988243722,9.233245433733359,21.538055497432104,21.18710698604461,4.299814414344544,4.188851401384322,1.3430340769221425,1.4100096205963286,1.3496280901360145,1.4178475268657813
SHARE0049,8.147943917416942,8.081443270595447,21.272324654726233,20.801984761533753,3.9556644208882386,4.18646415297907,1.374043758190484,1.4677813812189031,1.3786263427258163,1.4414447585460832
SHARE0052,8.735017593763743,8.719320478971836,20.314298394368187,19.94243377995865,4.232246778472,3.870141977791564,1.3379726237894525,1.4797397768645664,1.3419254073617468,1.5287673158858148
SHARE0053,8.645474298990727,8.677215149963473,20.472196161061802,19.70970476548158,4.563041618527698,4.583397313105932,1.3593788644313325,1.4490338078349898,1.3632205646108542,1.4506420091637782
SHARE0056,8.0270611377502,7.796743122442487,18.151040567878386,17.740883238688482,4.5909684551737024,4.3035193072751765,1.3573116600554114,1.4528293365686091,1.3647717704107711,1.484530010616426
SHARE0061,8.457428486160367,8.561720730868974,20.348815878477737,19.997643694644392,3.861578885605832,3.905803822036832,1.3590548642676976,1.5036438924006938,1.3610363097627565,1.501495664316166
SHARE0063,8.611116163824589,8.615265796764389,22.237242792100826,21.538504675440716,4.787519762578674,4.612157434989667,1.3438371598187362,1.426576766319584,1.3495077227656938,1.437828846276041
SHARE0066,8.214083904099798,8.091893226878348,23.423018926420607,22.34403588497211,4.123520878668055,4.154641482601718,1.3529735625790311,1.4747328469991876,1.3619580492165375,1.4762683578489937
SHARE0074,8.643994056792982,8.4204305971171,20.58672795828624,20.313060115370547,3.929150878101064,3.981371781046633,1.3648667167739317,1.5140156946659893,1.3658498619608328,1.4986938980160645
SHARE0076,8.448386267929774,8.345826685062999,20.274394025726487,19.706429646626166,4.050193679276443,4.0076040326698035,1.3682098779085572,1.5148190665098942,1.3728419691705174,1.5165874538236397
SHARE0080,8.379075057043657,8.343093316829853,24.006166264355357,23.363692737035922,4.297480995900972,4.1156294895866035,1.3392510954323984,1.500414950343816,1.3455548993912585,1.5256447770737331
SHARE0092,8.665991738681573,8.622851688123875,20.827903183719567,20.444838272536927,4.288598192857695,4.065056352140083,1.3585092772460041,1.4758030749920392,1.3677871407976394,1.491960244384444
SHARE0094,8.077085199628442,7.960414702494688,24.654404410251693,24.48917224379345,4.2812090902057856,4.344214763295338,1.3393294270499223,1.4422397469783286,1.3434684555329652,1.432940889876407
SHARE0095,7.965631438537481,7.900046654478254,22.40095312318697,22.05738226559185,4.8917626973965005,4.786297190977023,1.360795373184727,1.4162227559892766,1.365530889226558,1.417949543622972
SHARE0099,8.600402157296699,8.481862537873267,21.372879498359094,20.736885171994775,4.2109661227697845,3.9956548262699463,1.3379901783134596,1.4828636341902541,1.3401673989356069,1.5141429346994382
SHARE0101,8.15193416688648,8.060848554410413,22.284821376723162,21.612507742941798,4.706145779892394,4.687501481511704,1.3575011172878662,1.3997368721014165,1.367082525944145,1.404870665435549
SHARE0107,8.653782190935447,8.61907857339074,20.542679562029146,20.08429823744268,4.901190253250541,4.894920861686528,1.3663113308295034,1.394329191453366,1.3720632019485148,1.3889235624123422
SHARE0120,8.161695927947736,7.963722674860424,23.753103245799828,23.493455660850273,4.263441227860833,4.307701942608769,1.3553424311814928,1.502810399849322,1.3639872453726571,1.493439507736856
SHARE0128,7.98231289482404,7.908755661189719,23.43339273614109,22.55492673116735,4.791718054249537,4.715377653322834,1.3568169499524811,1.4263880487313212,1.3627111855835508,1.4251885286445052
SHARE0156,7.86706732857245,7.868527220347082,24.10007010611143,23.654945560101513,3.806678676831857,3.5094765302905118,1.3653220775947823,1.532267469227052,1.3642703211340912,1.5753150194573753
SHARE0172,8.122271800016216,7.980544692274067,25.158524979926533,24.488887204127998,4.472740424189689,4.446787061332199,1.3448249042979432,1.4460125450476482,1.3522485186938178,1.443892059874552
SHARE0177,8.99226889598984,8.875902577405403,20.811192315213145,20.46234481718399,4.632459125227172,4.703416663344791,1.3423548627654394,1.4089064136700908,1.3499350154608252,1.400968773321712
